ID,Awarded_Year,Number_of_Awards,Category,Main Category,Douban_Score,Production Country/Region,Duration,Language,Reviewer_Number
"Crouching Tiger, Hidden Dragon",2001,4,Drama/Romance/Martial arts,Drama,8.4,"Taiwan, China/Hong Kong, China/USA/Mainland China",120,Mandarin,480479
Durian Durian,2001,2,Drama,Drama,7.7,"Mainland China/Hong Kong, China/France",116,Mandarin/Cantonese,39074
In the Mood for Love,2001,4,Drama/Romance,Drama,8.8,"Hong Kong, China",98,Cantonese/Shanghai Dialect/French,624773
2000 AD,2001,1,Action/Thriller,Action,5.5,"Hong Kong, China/Singapore",99,English/Cantonese/Mandarin,3405
Shaolin Soccer,2002,4,Action/Comedy/Sports,Action,8.1,"Hong Kong, China",113,Cantonese,425604
July Rhapsody,2002,3,Drama,Drama,8.1,"Hong Kong, China",103,Cantonese,65789
Forever and Ever,2002,1,Drama/Family,Drama,7.9,"Hong Kong, China",95,Cantonese,1982
Visible Secret,2002,1,Horror/Suspense/Fantasy,Horror,6.2,"Hong Kong, China",101,Cantonese,8888
The Accidental Spy,2002,1,Action/Comedy/Thriller,Action,6.7,"Hong Kong, China",108,Cantonese/Mandarin/English/French/Turkish/Korean,29339
Peony Pavilion,2002,1,Drama/Romance/Homosexual,Drama,7.6,"Hong Kong, China",122,Mandarin,70243
Infernal Affairs,2003,7,Drama/Crime/Thriller,Drama,9.3,"Hong Kong, China",101,Cantonese,1397678
The eye,2003,1,Drama/Thriller,Drama,7.3,"Hong Kong, China/Singapore",99,Cantonese/Thai/Mandarin/English/Hakka,39982
Double Vision,2003,1,Drama/Crime/Suspense/Thriller,Drama,7.7,"Hong Kong, China/Taiwan, China",113,Mandarin/Taiwanese/English,144639
Three,2003,1,Romance/Suspence/Fantasy/Thriller,Romance,7.4,"Hong Kong, China/South Korea/Tailand",140,Korean/English/Mandarin/Thai/Cantonese,34921
Hero,2003,1,Drama/Action/Martial Arts/Costume,Drama,7.6,"Mainland China/Hong Kong, China",93,Mandarin,325164
Running on Karma,2004,3,Action/Drama/Thriller,Action,6.8,"Hong Kong, China/Mainland China",92,Cantonese/English/Hindi,86555
PTU,2004,1,Crime/Drama,Crime,8.2,"Hong Kong, China",88,Cantonese,105826
Lost In Time,2004,1,Drama/Romance,Drama,7.8,"Hong Kong, China",109,Cantonese,72590
Men Suddenly In Black,2004,1,Comedy/Drama,Comedy,7.5,"Hong Kong, China",98,Cantonese/Mandarin,45487
Naked Ambition,2004,1,Drama/Comedy,Drama,6.3,"Hong Kong, China",121,Cantonese,7506
Star Runner,2004,1,Action/Drama/Romance,Action,6.1,"Hong Kong, China/South Korea",103,Cantonese/Korean/English,6750
The Floating Landscape,2004,1,Drama/Romance/Animation,Drama,6.8,"Hong Kong, China/France",100,Cantonese,16524
Twins Effect,2004,2,Action/Adventure/Comedy/Thriller,Action,5.9,"Hong Kong, China",88,Cantonese,97079
Kung Fu Hustle,2005,3,Action/Comedy/Crime/Fantasy,Action,8.8,"Mainland China/Hong Kong, China",100,Cantonese/Mandarin/Sign Language,1166743
One Nite in Mongkok,2005,2,Action/Drama/Crime/Romance,Action,7.4,"Hong Kong, China",110,Cantonese,58994
2046,2005,4,Drama/Romance/Fantasy,Drama,7.7,"Hong Kong, China/Mainland China/France/Italy/Germany",129,Cantonese/Mandarin/Japanese,237099
Dumplings,2005,1,Drama/Thriller,Drama,7.1,"Hong Kong, China/Japan/South Korea",126,Cantonese/Japanese/Korean/Mandarin,14596
Butterfly,2005,1,Drama/Romance/Homosexual,Drama,7.7,"Hong Kong, China",129,Cantonese/Mandarin/Portuguese/English,45985
Election,2006,4,Crime/Drama/Thriller,Crime,7.7,"Mainland China/Hong Kong, China/Malaysia",108,Mandarin/Cantonese/English,246182
Perhaps Love,2006,2,Drama/Music/Romance,Drama,7.8,"Hong Kong, China/Japan",109,Cantonese/English,406043
Initial D,2006,2,Drama/Action,Drama,6.7,"Hong Kong, China",107,Cantonese,66970
2 Young,2006,1,Drama/Romance,Drama,7.7,"Mainland China/Hong Kong, China/Malaysia",108,Mandarin/Cantonese/English,246182
Divergence,2006,1,Drama/Action/Crime,Drama,6.6,"Mainland China/Hong Kong, China",101,Cantonese,47233
After This Our Exile,2007,5,Drama/Family,Drama,6.9,"Hong Kong, China/Malaysia",120,Cantonese/Mandarin,31044
My Name Is Fame,2007,1,Comedy/Drama,Comedy,6.9,"Mainland China/Hong Kong, China",94,Cantonese/Mandarin/English,22817
Curse of the Golden Flower,2007,2,Drama/Action/Romance/Costume,Drama,5.9,"Mainland China/Hong Kong, China",114,Mandarin,263569
The Banquet,2007,1,Drama/Action/Martial Arts/Costume,Drama,6,"Mainland China/Hong Kong, China",131,Mandarin,184872
Confession of Pain,2007,1,Crime/Drama/Thriller,Crime,6.8,"Mainland China/Hong Kong, China",110,Cantonese,98507
A Battle of Wits,2007,1,Action/Drama/War,Action,6.2,"Mainland China/Hong Kong, China/Japan/South Korea",133,Mandarin,76196
The Warlords,2008,5,Action/Drama/War/Costume,Action,7.8,"Mainland China/Hong Kong, China",126,Mandarin,253124
Mad Detective,2008,1,Action/Suspence/Thriller,Action,8.5,"Hong Kong, China",90,Cantonese/English,311507
The Postmodern Life of My Aunt,2008,1,Comedy/Drama/Romance,Comedy,7.4,"Mainland China/Hong Kong, China",111,Mandarin/Shanghai Dialect/Wuhan Dialect/Dialect of Northeast Area,58818
Prot¨¦g¨¦,2008,2,Crime/Drama/Thriller,Crime,8,"Hong Kong, China",108,Cantonese/English/Thai/Mandarin,317618
The Pye Dog,2008,1,Drama,Drama,7.2,"Hong Kong, China",90,Cantonese,5878
Eye in the Sky,2008,1,Crime/Thriller,Crime,7.4,"Hong Kong, China",90,Cantonese/English,49416
Ip Man,2009,1,Action/Biography/History/Drama,Action,7.8,"Hong Kong, China/Mainland China",106,Cantonese/Mandarin/Japanese,381521
The Way We Are,2009,4,Drama/Family,Drama,8.7,"Hong Kong, China",90,Cantonese,119494
The Beast Stalker,2009,2,Action/Thriller,Action,7.3,"Hong Kong, China/Mainland China",109,Cantonese/Mandarin,102356
CJ7,2009,1,Comedy/Fantasy,Comedy,7.2,"Mainland China/Hong Kong, China",86,English/Mandarin/Cantonese,497140
Painted Skin,2009,1,Drama/Romance/Fantasy/Thriller,Drama,6.8,"Mainland China/Hong Kong, China/Singapore",103,Mandarin,448092
Connected,2009,1,Drama/Action,Drama,6.8,"Hong Kong, China/Mainland China",110,Cantonese/Mandarin,160728
Red Cliff,2009,1,Action/History/War/Costume,Action,6.4,"Mainland China/Hong Kong, China/Taiwan, China/Japan/South Korea",146,Mandarin,193905
Bodyguards and Assassins,2010,5,Action/Drama/History,Action,7.7,"Hong Kong, China/Mainland China",139,Mandarin/Cantonese/English,319716
Echoes Of The Rainbow,2010,3,Drama/Family,Drama,8.7,"Hong Kong, China/Mainland China",117,Cantonese/Mandarin/English/Shanghai Dialect/French,581382
At The End Of Daybreak,2010,1,Drama/Crime/Thriller/Family,Drama,6.3,"Hong Kong, China/Malaysia/South Korea",94,Cantonese/Mandarin/Malay,7487
Accident,2010,1,Suspense/Thriller,Suspense,7.4,"Hong Kong, China",87,Cantonese,109423
Overheard,2010,1,Action/Drama/Thriller,Action,7.7,"Hong Kong, China/Mainland China/Singapore",100,Cantonese/Mandarin,288487
